bid_move1,bid_move2,delta_move,total,'wins','loses',PNL
0.0003,0.0003,0.8,427,125,302,-5824
0.0003,0.0003,1,315,100,215,-3996
0.0003,0.0003,1.2,235,72,163,-2931
0.0003,0.0003,1.4,183,64,119,-2000
0.0003,0.0003,1.6,139,38,101,-2030
0.0003,0.0005,0.8,427,100,327,-5834
0.0003,0.0005,1,315,73,242,-4135
0.0003,0.0005,1.2,235,60,175,-2922
0.0003,0.0005,1.4,183,41,142,-2405
0.0003,0.0005,1.6,139,31,108,-2033
0.0003,0.0007,0.8,427,73,354,-6173
0.0003,0.0007,1,315,66,249,-3856
0.0003,0.0007,1.2,235,44,191,-2952
0.0003,0.0007,1.4,183,39,144,-1931
0.0003,0.0007,1.6,139,22,117,-2158
0.0003,0.001,0.8,427,66,361,-5711
0.0003,0.001,1,315,50,265,-3676
0.0003,0.001,1.2,235,39,196,-2545
0.0003,0.001,1.4,183,27,156,-2326
0.0003,0.001,1.6,139,24,115,-1555
0.0003,0.0012,0.8,427,48,379,-6382
0.0003,0.0012,1,315,44,271,-3707
0.0003,0.0012,1.2,235,27,208,-3312
0.0003,0.0012,1.4,183,25,158,-2473
0.0003,0.0012,1.6,139,14,125,-2301
0.0003,0.0014,0.8,427,49,378,-5791
0.0003,0.0014,1,315,38,277,-3682
0.0003,0.0014,1.2,235,29,206,-2843
0.0003,0.0014,1.4,183,19,164,-2651
0.0003,0.0014,1.6,139,17,122,-1708
0.0003,0.0015,0.8,427,45,382,-5463
0.0003,0.0015,1,315,40,275,-3634
0.0003,0.0015,1.2,235,24,211,-3081
0.0003,0.0015,1.4,183,23,160,-1863
0.0003,0.0015,1.6,139,12,127,-2249
0.0003,0.002,0.8,427,34,393,-6501
0.0003,0.002,1,315,26,289,-4450
0.0003,0.002,1.2,235,20,215,-3190
0.0003,0.002,1.4,183,13,170,-2991
0.0003,0.002,1.6,139,11,128,-2326
0.0005,0.0003,0.8,427,189,238,-6444
0.0005,0.0003,1,315,145,170,-4361
0.0005,0.0003,1.2,235,110,125,-3036
0.0005,0.0003,1.4,183,90,93,-2040
0.0005,0.0003,1.6,139,64,75,-1906
0.0005,0.0005,0.8,427,155,272,-6552
0.0005,0.0005,1,315,121,194,-3873
0.0005,0.0005,1.2,235,95,140,-2737
0.0005,0.0005,1.4,183,73,110,-1866
0.0005,0.0005,1.6,139,52,87,-2007
0.0005,0.0007,0.8,427,123,304,-7011
0.0005,0.0007,1,315,104,211,-3864
0.0005,0.0007,1.2,235,77,158,-2711
0.0005,0.0007,1.4,183,63,120,-1744
0.0005,0.0007,1.6,139,45,94,-1690
0.0005,0.001,0.8,427,108,319,-6226
0.0005,0.001,1,315,83,232,-3767
0.0005,0.001,1.2,235,64,171,-2648
0.0005,0.001,1.4,183,48,135,-2160
0.0005,0.001,1.6,139,39,100,-1486
0.0005,0.0012,0.8,427,87,340,-7084
0.0005,0.0012,1,315,72,243,-4090
0.0005,0.0012,1.2,235,52,183,-3152
0.0005,0.0012,1.4,183,42,141,-2518
0.0005,0.0012,1.6,139,30,109,-2053
0.0005,0.0014,0.8,427,85,342,-6218
0.0005,0.0014,1,315,70,245,-2897
0.0005,0.0014,1.2,235,50,185,-2820
0.0005,0.0014,1.4,183,39,144,-1985
0.0005,0.0014,1.6,139,29,110,-1801
0.0005,0.0015,0.8,427,80,347,-5870
0.0005,0.0015,1,315,66,249,-3547
0.0005,0.0015,1.2,235,47,188,-2620
0.0005,0.0015,1.4,183,36,147,-2311
0.0005,0.0015,1.6,139,26,113,-1943
0.0005,0.002,0.8,427,61,366,-7107
0.0005,0.002,1,315,50,265,-4015
0.0005,0.002,1.2,235,35,200,-3556
0.0005,0.002,1.4,183,28,155,-2546
0.0005,0.002,1.6,139,20,119,-2442
0.0007,0.0003,0.8,427,234,193,-6594
0.0007,0.0003,1,315,178,137,-4225
0.0007,0.0003,1.2,235,132,103,-3288
0.0007,0.0003,1.4,183,111,72,-1609
0.0007,0.0003,1.6,139,78,61,-1944
0.0007,0.0005,0.8,427,201,226,-6217
0.0007,0.0005,1,315,148,167,-4391
0.0007,0.0005,1.2,235,119,116,-2507
0.0007,0.0005,1.4,183,93,90,-1512
0.0007,0.0005,1.6,139,69,70,-1595
0.0007,0.0007,0.8,427,166,261,-6943
0.0007,0.0007,1,315,135,180,-3462
0.0007,0.0007,1.2,235,100,135,-2601
0.0007,0.0007,1.4,183,84,99,-955
0.0007,0.0007,1.6,139,61,78,-1270
0.0007,0.001,0.8,427,140,287,-7001
0.0007,0.001,1,315,108,207,-4049
0.0007,0.001,1.2,235,83,152,-2660
0.0007,0.001,1.4,183,65,118,-1860
0.0007,0.001,1.6,139,50,89,-1498
0.0007,0.0012,0.8,427,118,309,-7918
0.0007,0.0012,1,315,94,221,-4568
0.0007,0.0012,1.2,235,67,168,-3929
0.0007,0.0012,1.4,183,54,129,-2847
0.0007,0.0012,1.6,139,39,100,-2459
0.0007,0.0014,0.8,427,111,316,-7348
0.0007,0.0014,1,315,89,226,-3726
0.0007,0.0014,1.2,235,64,171,-3437
0.0007,0.0014,1.4,183,52,131,-2019
0.0007,0.0014,1.6,139,36,103,-2400
0.0007,0.0015,0.8,427,108,319,-6582
0.0007,0.0015,1,315,87,228,-3589
0.0007,0.0015,1.2,235,61,174,-3245
0.0007,0.0015,1.4,183,48,135,-2458
0.0007,0.0015,1.6,139,34,105,-2405
0.0007,0.002,0.8,427,82,345,-8721
0.0007,0.002,1,315,67,248,-4582
0.0007,0.002,1.2,235,47,188,-4119
0.0007,0.002,1.4,183,38,145,-2849
0.0007,0.002,1.6,139,24,115,-3642
0.001,0.0003,0.8,427,279,148,-6302
0.001,0.0003,1,315,208,107,-4179
0.001,0.0003,1.2,235,158,77,-2915
0.001,0.0003,1.4,183,128,55,-1377
0.001,0.0003,1.6,139,96,43,-1392
0.001,0.0005,0.8,427,248,179,-5684
0.001,0.0005,1,315,186,129,-3375
0.001,0.0005,1.2,235,146,89,-1796
0.001,0.0005,1.4,183,116,67,-575
0.001,0.0005,1.6,139,88,51,-784
0.001,0.0007,0.8,427,214,213,-6385
0.001,0.0007,1,315,168,147,-2939
0.001,0.0007,1.2,235,127,108,-1965
0.001,0.0007,1.4,183,105,78,-198
0.001,0.0007,1.6,139,79,60,-491
0.001,0.001,0.8,427,183,244,-6667
0.001,0.001,1,315,134,181,-4775
0.001,0.001,1.2,235,106,129,-2553
0.001,0.001,1.4,183,82,101,-1873
0.001,0.001,1.6,139,64,75,-1283
0.001,0.0012,0.8,427,155,272,-8786
0.001,0.0012,1,315,119,196,-5468
0.001,0.0012,1.2,235,88,147,-4311
0.001,0.0012,1.4,183,72,111,-2526
0.001,0.0012,1.6,139,52,87,-2555
0.001,0.0014,0.8,427,148,279,-7681
0.001,0.0014,1,315,111,204,-5005
0.001,0.0014,1.2,235,85,150,-3410
0.001,0.0014,1.4,183,69,114,-1748
0.001,0.0014,1.6,139,51,88,-1830
0.001,0.0015,0.8,427,143,284,-7239
0.001,0.0015,1,315,111,204,-4161
0.001,0.0015,1.2,235,80,155,-3635
0.001,0.0015,1.4,183,66,117,-1867
0.001,0.0015,1.6,139,48,91,-2017
0.001,0.002,0.8,427,114,313,-9074
0.001,0.002,1,315,83,232,-7025
0.001,0.002,1.2,235,64,171,-4550
0.001,0.002,1.4,183,51,132,-3256
0.001,0.002,1.6,139,35,104,-3659
0.0012,0.0003,0.8,427,306,121,-5216
0.0012,0.0003,1,315,226,89,-3534
0.0012,0.0003,1.2,235,171,64,-2489
